date,usage_gb,gross_usage_cost_usd,estimated,source_snapshot
2026-07-04,2.2310168385,0.0123101684,true,2026-08-01
2026-07-05,8.4416250680,0.0844162504,true,2026-08-01
2026-07-06,240.2870271784,2.4028702721,true,2026-08-01
2026-07-07,461.7199847332,4.6171998479,true,2026-08-01
2026-07-08,59.8316890751,0.5983168916,true,2026-08-01
2026-07-09,44.6188264156,0.4461882649,true,2026-08-01
2026-07-10,87.0537778819,0.8705377798,true,2026-08-01
2026-07-11,107.7931217009,1.0779312178,true,2026-08-01
2026-07-12,80.6038449441,0.8060384500,true,2026-08-01
2026-07-13,187.0283334347,1.8702833341,true,2026-08-01
2026-07-14,359.3156200518,3.5931562003,true,2026-08-01
2026-07-15,1933.5044838637,19.3350448384,true,2026-08-01
2026-07-16,1331.7599043936,13.3175990449,true,2026-08-01
2026-07-17,524.9728398933,5.2497283988,true,2026-08-01
2026-07-18,790.3173823169,7.9031738229,true,2026-08-01
2026-07-19,1168.3504017130,11.6835040172,true,2026-08-01
2026-07-20,2158.0616152936,21.5806161530,true,2026-08-01
2026-07-21,3684.0419226058,36.8404192264,true,2026-08-01
2026-07-22,4578.5751462355,45.7857514620,true,2026-08-01
2026-07-23,2233.0552421893,22.3305524226,true,2026-08-01
2026-07-24,3677.0293128891,36.7702931299,true,2026-08-01
2026-07-25,3536.3109633860,35.3631096347,true,2026-08-01
2026-07-26,2428.8142765716,24.2881427658,true,2026-08-01
2026-07-27,0.0000000000,0.0000000000,true,2026-08-01
