logical_nodegroup,bucket_start,network_out_gib,network_in_gib,total_gib,in_service_instances,source_snapshot
cluster-1-spot,2026-07-14T09:00:00+09:00,0.117959,0.355793,0.473752,2,2026-08-02
cluster-1-spot,2026-07-14T10:00:00+09:00,0.118439,0.356451,0.474890,2,2026-08-02
cluster-1-spot,2026-07-14T11:00:00+09:00,0.110742,0.300538,0.411280,2,2026-08-02
cluster-1-spot,2026-07-14T12:00:00+09:00,0.164649,0.527098,0.691747,2,2026-08-02
cluster-1-spot,2026-07-14T13:00:00+09:00,0.195690,0.374872,0.570563,2,2026-08-02
cluster-1-spot,2026-07-14T14:00:00+09:00,0.193997,0.371366,0.565363,2,2026-08-02
cluster-1-spot,2026-07-14T15:00:00+09:00,0.194024,0.371595,0.565619,2,2026-08-02
cluster-1-spot,2026-07-14T16:00:00+09:00,0.195173,0.372298,0.567471,2,2026-08-02
cluster-1-spot,2026-07-14T17:00:00+09:00,0.193556,0.371738,0.565294,2,2026-08-02
cluster-1-spot,2026-07-14T18:00:00+09:00,0.191133,0.371160,0.562293,2,2026-08-02
cluster-1-spot,2026-07-14T19:00:00+09:00,0.190983,0.371544,0.562527,2,2026-08-02
cluster-1-spot,2026-07-14T20:00:00+09:00,0.191049,0.370913,0.561963,2,2026-08-02
cluster-1-spot,2026-07-14T21:00:00+09:00,0.190809,0.371201,0.562009,2,2026-08-02
cluster-1-spot,2026-07-14T22:00:00+09:00,0.191176,0.370960,0.562136,2,2026-08-02
cluster-1-spot,2026-07-14T23:00:00+09:00,0.190956,0.371595,0.562551,2,2026-08-02
cluster-1-spot,2026-07-15T00:00:00+09:00,0.191410,0.372362,0.563772,2,2026-08-02
cluster-1-spot,2026-07-15T01:00:00+09:00,0.190933,0.370661,0.561595,2,2026-08-02
cluster-1-spot,2026-07-15T02:00:00+09:00,0.369224,0.827756,1.196980,2,2026-08-02
cluster-1-spot,2026-07-15T03:00:00+09:00,1.172786,1.500385,2.673171,2,2026-08-02
cluster-1-spot,2026-07-15T04:00:00+09:00,1.165779,1.486137,2.651916,2,2026-08-02
cluster-1-spot,2026-07-15T05:00:00+09:00,1.168678,1.489446,2.658124,2,2026-08-02
cluster-1-spot,2026-07-15T06:00:00+09:00,1.167888,1.488404,2.656292,2,2026-08-02
cluster-1-spot,2026-07-15T07:00:00+09:00,1.168340,1.490936,2.659276,2,2026-08-02
cluster-1-spot,2026-07-15T08:00:00+09:00,1.164852,1.483840,2.648693,2,2026-08-02
cluster-1-spot,2026-07-15T09:00:00+09:00,1.166254,1.485634,2.651888,2,2026-08-02
cluster-1-spot,2026-07-15T10:00:00+09:00,1.159903,1.474656,2.634559,2,2026-08-02
cluster-1-spot,2026-07-15T11:00:00+09:00,1.166199,1.486290,2.652489,2,2026-08-02
cluster-1-spot,2026-07-15T12:00:00+09:00,1.167451,1.487363,2.654814,2,2026-08-02
cluster-1-spot,2026-07-15T13:00:00+09:00,1.164905,1.485513,2.650418,2,2026-08-02
cluster-1-spot,2026-07-15T14:00:00+09:00,1.159760,1.478295,2.638055,2,2026-08-02
cluster-1-spot,2026-07-15T15:00:00+09:00,1.164977,1.484732,2.649709,2,2026-08-02
cluster-1-spot,2026-07-15T16:00:00+09:00,1.163841,1.483770,2.647611,2,2026-08-02
cluster-1-spot,2026-07-15T17:00:00+09:00,1.162174,1.481442,2.643616,2,2026-08-02
cluster-1-spot,2026-07-15T18:00:00+09:00,1.161499,1.480007,2.641506,2,2026-08-02
cluster-1-spot,2026-07-15T19:00:00+09:00,1.164929,1.487356,2.652285,2,2026-08-02
cluster-1-spot,2026-07-15T20:00:00+09:00,1.154408,1.473119,2.627527,2,2026-08-02
cluster-1-spot,2026-07-15T21:00:00+09:00,1.164918,1.485615,2.650533,2,2026-08-02
cluster-1-spot,2026-07-15T22:00:00+09:00,1.160303,1.479120,2.639423,2,2026-08-02
