provider,case,wire_bytes,decoded_bytes,content_encoding,http_seconds,status_code,raw_json_bytes,normalized_bytes,agent_body_bytes,original_items,returned_items,truth_expected,truth_retained,truth_retention_ratio,contract_valid,contract_reason,transform_seconds_median,transform_peak_bytes,cycle,observed_at
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.03365395902073942,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.0017434589972253889,61017,1,2026-08-02T11:31:54+00:00
prometheus,baseline,1502,53178,gzip,0.010662874992704019,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.004720082972198725,176145,1,2026-08-02T11:31:54+00:00
loki,baseline,975,7042,gzip,0.009708750003483146,200,7041,14160,14278,20,20,4,4,1.0,True,accepted,0.0058585839869920164,16383,1,2026-08-02T11:31:54+00:00
tempo,baseline,721,721,identity,0.023820500005967915,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.0005447500152513385,5986,1,2026-08-02T11:31:54+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.041611709049902856,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.0016449590038973838,58057,2,2026-08-02T11:32:24+00:00
prometheus,baseline,1502,53178,gzip,0.015636791998986155,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.004196875001071021,175977,2,2026-08-02T11:32:24+00:00
loki,baseline,974,7042,gzip,0.016994083998724818,200,7041,14160,14278,20,20,4,4,1.0,True,accepted,0.002787332981824875,16737,2,2026-08-02T11:32:24+00:00
tempo,baseline,721,721,identity,0.013668250001501292,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.0002970829955302179,5874,2,2026-08-02T11:32:24+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.1779008749872446,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.0023518749803770334,58001,3,2026-08-02T11:32:54+00:00
prometheus,baseline,1502,53178,gzip,0.023475499998312443,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.0049584170046728104,175809,3,2026-08-02T11:32:54+00:00
