provider,case,wire_bytes,decoded_bytes,content_encoding,http_seconds,status_code,raw_json_bytes,normalized_bytes,agent_body_bytes,original_items,returned_items,truth_expected,truth_retained,truth_retention_ratio,contract_valid,contract_reason,transform_seconds_median,transform_peak_bytes,cycle,observed_at
kubernetes,stress,835690,835690,controlled-amplification,0.0,200,835690,253170,253300,400,221,2,2,1.0,True,accepted,0.019706082995980978,764603,1,2026-08-02T12:02:05+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.010711791983339936,1026639,1,2026-08-02T12:02:05+00:00
loki,stress,19649,19649,controlled-amplification,0.0,200,19649,27788,27906,80,80,4,4,1.0,True,accepted,0.010228125000139698,46929,1,2026-08-02T12:02:05+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.07612849998986349,2013792,1,2026-08-02T12:02:05+00:00
kubernetes,stress,835690,835690,controlled-amplification,0.0,200,835690,253170,253300,400,221,2,2,1.0,True,accepted,0.01951325000845827,764547,2,2026-08-02T12:02:35+00:00
prometheus,stress,581222,581222,controlled-amplification,0.0,200,581222,61077,61207,2500,250,1,1,1.0,True,accepted,0.010773292015073821,1026471,2,2026-08-02T12:02:35+00:00
loki,stress,19649,19649,controlled-amplification,0.0,200,19649,27788,27906,80,80,4,4,1.0,True,accepted,0.01039420801680535,46817,2,2026-08-02T12:02:35+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.07050745899323374,2012896,2,2026-08-02T12:02:35+00:00
kubernetes,stress,835690,835690,controlled-amplification,0.0,200,835690,253170,253300,400,221,2,2,1.0,True,accepted,0.0197522500238847,764491,3,2026-08-02T12:03:05+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.01261016700300388,1026303,3,2026-08-02T12:03:05+00:00
loki,stress,19649,19649,controlled-amplification,0.0,200,19649,27788,27906,80,80,4,4,1.0,True,accepted,0.011881834012456238,46752,3,2026-08-02T12:03:05+00:00
